id,created_at,updated_at,name,price,baseQuantityThreshold,maxQuantityThreshold
5,2024-02-20 15:29:58,2024-09-09 13:54:26,New Covent Garden Market Collection,1600,1,1
6,2024-02-20 15:30:21,2024-09-10 16:00:56,Food crate,200,2,3
8,2024-02-20 15:31:10,2024-09-08 20:33:55,Thermal boxes,0,2,3
9,2024-02-20 15:31:31,2024-09-09 14:23:44,Flower bouquet,0,2,4
10,2024-02-20 15:31:46,2024-09-10 15:58:15,Return,-200,1,1
12,2024-02-20 15:56:33,2024-09-10 15:58:34,Small package,-250,6,8
13,2024-02-20 16:11:56,2024-09-09 14:23:05,Flower bouquet Large,200,1,2
14,2024-04-21 16:38:21,2024-09-10 15:55:13,Flower crate,200,1,2
15,2024-04-21 17:47:40,2024-09-09 14:18:02,Box,0,1,1
17,2024-09-09 14:22:22,2024-09-09 14:22:39,Crate,0,4,6
18,2024-09-10 15:53:24,2024-09-10 15:54:19,Vegbox small bag,-500,1,1
19,2024-09-10 15:54:08,2024-09-10 15:54:08,Vegbox collection point,-200,1,1
